FECDEF_ano;provincia;sexo;gr_edad;pob;trienio
2019;26;0;POBTOT;608729;T4
2019;26;1;POBTOT;304965;T4
2019;26;2;POBTOT;303764;T4
2019;30;0;POBTOT;1373270;T4
2019;30;1;POBTOT;674412;T4
2019;30;2;POBTOT;698858;T4
2019;34;0;POBTOT;600229;T4
2019;34;1;POBTOT;298797;T4
2019;34;2;POBTOT;301432;T4
2019;38;0;POBTOT;762440;T4
2019;38;1;POBTOT;376618;T4
2019;38;2;POBTOT;385822;T4
2019;42;0;POBTOT;355422;T4
2019;42;1;POBTOT;176337;T4
2019;42;2;POBTOT;179085;T4
2019;46;0;POBTOT;388386;T4
2019;46;1;POBTOT;193364;T4
2019;46;2;POBTOT;195022;T4
2019;50;0;POBTOT;1969982;T4
2019;50;1;POBTOT;968816;T4
2019;50;2;POBTOT;1001166;T4
2019;54;0;POBTOT;1247362;T4
2019;54;1;POBTOT;622859;T4
2019;54;2;POBTOT;624503;T4
2019;58;0;POBTOT;655501;T4
2019;58;1;POBTOT;325888;T4
2019;58;2;POBTOT;329613;T4
2019;62;0;POBTOT;738060;T4
2019;62;1;POBTOT;367973;T4
2019;62;2;POBTOT;370087;T4
2019;66;0;POBTOT;1406584;T4
2019;66;1;POBTOT;695946;T4
2019;66;2;POBTOT;710638;T4
2019;70;0;POBTOT;772876;T4
2019;70;1;POBTOT;382990;T4
2019;70;2;POBTOT;389886;T4
2019;74;0;POBTOT;502000;T4
2019;74;1;POBTOT;249005;T4
2019;74;2;POBTOT;252995;T4
2019;78;0;POBTOT;356647;T4
2019;78;1;POBTOT;183222;T4
2019;78;2;POBTOT;173425;T4
2019;82;0;POBTOT;3509113;T4
2019;82;1;POBTOT;1709293;T4
2019;82;2;POBTOT;1799820;T4
2019;86;0;POBTOT;968309;T4
2019;86;1;POBTOT;481983;T4
2019;86;2;POBTOT;486326;T4
2019;90;0;POBTOT;1674622;T4
2019;90;1;POBTOT;826817;T4
2019;90;2;POBTOT;847805;T4
2019;94;0;POBTOT;169183;T4
2019;94;1;POBTOT;86265;T4
2019;94;2;POBTOT;82918;T4
2012;0;0;POB0004;3434364;T6
2012;2;0;POB0004;196047;T6
2012;6;0;POB0004;1216183;T6
2012;10;0;POB0004;44316;T6
2012;14;0;POB0004;250796;T6
2012;18;0;POB0004;104556;T6
2012;22;0;POB0004;108351;T6
2012;26;0;POB0004;41737;T6
2012;30;0;POB0004;114484;T6
2012;34;0;POB0004;61985;T6
2012;38;0;POB0004;73028;T6
2012;42;0;POB0004;27531;T6
2012;46;0;POB0004;33835;T6
2012;50;0;POB0004;157072;T6
2012;54;0;POB0004;130383;T6
2012;58;0;POB0004;51332;T6
2012;62;0;POB0004;52350;T6
2012;66;0;POB0004;142867;T6
2012;70;0;POB0004;70160;T6
2012;74;0;POB0004;46498;T6
2012;78;0;POB0004;22694;T6
2012;82;0;POB0004;252226;T6
2012;86;0;POB0004;81633;T6
2012;90;0;POB0004;140907;T6
2012;94;0;POB0004;13393;T6
2012;0;1;POB0004;1748173;T6
2012;2;1;POB0004;99810;T6
2012;6;1;POB0004;620862;T6
2012;10;1;POB0004;22467;T6
2012;14;1;POB0004;127565;T6
2012;18;1;POB0004;52733;T6
2012;22;1;POB0004;55133;T6
2012;26;1;POB0004;21148;T6
2012;30;1;POB0004;58119;T6
2012;34;1;POB0004;31476;T6
2012;38;1;POB0004;37359;T6
2012;42;1;POB0004;14014;T6
2012;46;1;POB0004;17113;T6
2012;50;1;POB0004;79792;T6
2012;54;1;POB0004;66546;T6
2012;58;1;POB0004;26232;T6
2012;62;1;POB0004;26802;T6
2012;66;1;POB0004;72189;T6
2012;70;1;POB0004;35573;T6
2012;74;1;POB0004;23789;T6
2012;78;1;POB0004;11552;T6
2012;82;1;POB0004;128414;T6
2012;86;1;POB0004;41338;T6
2012;90;1;POB0004;71379;T6
2012;94;1;POB0004;6768;T6
2012;0;2;POB0004;1686191;T6
2012;2;2;POB0004;96237;T6
2012;6;2;POB0004;595321;T6
2012;10;2;POB0004;21849;T6
2012;14;2;POB0004;123231;T6
2012;18;2;POB0004;51823;T6
2012;22;2;POB0004;53218;T6
2012;26;2;POB0004;20589;T6
2012;30;2;POB0004;56365;T6
2012;34;2;POB0004;30509;T6
2012;38;2;POB0004;35669;T6
2012;42;2;POB0004;13517;T6
2012;46;2;POB0004;16722;T6
2012;50;2;POB0004;77280;T6
2012;54;2;POB0004;63837;T6
2012;58;2;POB0004;25100;T6
2012;62;2;POB0004;25548;T6
2012;66;2;POB0004;70678;T6
2012;70;2;POB0004;34587;T6
2012;74;2;POB0004;22709;T6
2012;78;2;POB0004;11142;T6
2012;82;2;POB0004;123812;T6
2012;86;2;POB0004;40295;T6
2012;90;2;POB0004;69528;T6
2012;94;2;POB0004;6625;T6
2013;0;0;POB0004;3712611;T6
2013;2;0;POB0004;210242;T6
2013;6;0;POB0004;1445568;T6
2013;10;0;POB0004;33696;T6
2013;14;0;POB0004;285201;T6
2013;18;0;POB0004;100290;T6
2013;22;0;POB0004;111479;T6
2013;26;0;POB0004;49619;T6
2013;30;0;POB0004;108978;T6
2013;34;0;POB0004;56651;T6
2013;38;0;POB0004;65579;T6
2013;42;0;POB0004;27208;T6
2013;46;0;POB0004;31221;T6
2013;50;0;POB0004;166715;T6
2013;54;0;POB0004;119754;T6
2013;58;0;POB0004;57552;T6
2013;62;0;POB0004;58903;T6
2013;66;0;POB0004;135298;T6
2013;70;0;POB0004;67477;T6
2013;74;0;POB0004;39721;T6
2013;78;0;POB0004;30339;T6
2013;82;0;POB0004;265616;T6
2013;86;0;POB0004;86251;T6
2013;90;0;POB0004;146706;T6
2013;94;0;POB0004;12547;T6
2013;0;1;POB0004;1911781;T6
2013;2;1;POB0004;108275;T6
2013;6;1;POB0004;745010;T6
2013;10;1;POB0004;17364;T6
2013;14;1;POB0004;146970;T6
2013;18;1;POB0004;51732;T6
2013;22;1;POB0004;57096;T6
2013;26;1;POB0004;25396;T6
2013;30;1;POB0004;56186;T6
2013;34;1;POB0004;29214;T6
2013;38;1;POB0004;33809;T6
2013;42;1;POB0004;14019;T6
2013;46;1;POB0004;16195;T6
2013;50;1;POB0004;85935;T6
2013;54;1;POB0004;61729;T6
2013;58;1;POB0004;29691;T6
2013;62;1;POB0004;30370;T6
2013;66;1;POB0004;69729;T6
2013;70;1;POB0004;34770;T6
2013;74;1;POB0004;20487;T6
2013;78;1;POB0004;15604;T6
2013;82;1;POB0004;135710;T6
2013;86;1;POB0004;44442;T6
2013;90;1;POB0004;75579;T6
2013;94;1;POB0004;6469;T6
